sampling,budget,query,initial_data,scoremean_score,model,score,mean
entropy_sampling,100,10,5000,,MultinomialNB,"[0.659, 0.652, 0.657, 0.6663333333333333, 0.6613333333333333, 0.66, 0.662, 0.6556666666666666, 0.6566666666666666, 0.66]",0.659
entropy_sampling,100,10,7500,,MultinomialNB,"[0.6932, 0.6804, 0.6716, 0.6736, 0.6756, 0.6776, 0.6824, 0.6776, 0.6852, 0.6796]",0.67968
entropy_sampling,100,15,2500,,MultinomialNB,"[0.6614285714285715, 0.6688571428571428, 0.6605714285714286, 0.6645714285714286, 0.6551428571428571, 0.6634285714285715, 0.656, 0.6628571428571428, 0.6668571428571428, 0.6688571428571428]",0.6628571428571429
entropy_sampling,100,15,5000,,MultinomialNB,"[0.683, 0.6746666666666666, 0.671, 0.6793333333333333, 0.669, 0.6756666666666666, 0.6693333333333333, 0.6736666666666666, 0.6823333333333333, 0.6743333333333333]",0.6752333333333334
entropy_sampling,100,15,7500,,MultinomialNB,"[0.7, 0.6932, 0.6912, 0.6964, 0.6856, 0.6944, 0.6936, 0.6956, 0.694, 0.7]",0.6944
entropy_sampling,100,20,2500,,MultinomialNB,"[0.6782857142857143, 0.6965714285714286, 0.684, 0.6828571428571428, 0.6862857142857143, 0.6897142857142857, 0.6817142857142857, 0.6888571428571428, 0.6848571428571428, 0.6762857142857143]",0.6849428571428572
entropy_sampling,100,20,5000,,MultinomialNB,"[0.6943333333333334, 0.674, 0.6836666666666666, 0.6866666666666666, 0.683, 0.683, 0.6846666666666666, 0.6896666666666667, 0.6876666666666666, 0.682]",0.6848666666666668
entropy_sampling,100,20,7500,,MultinomialNB,"[0.7136, 0.732, 0.7096, 0.7024, 0.7188, 0.7132, 0.7252, 0.7152, 0.7172, 0.7108]",0.7158
entropy_sampling,300,10,2500,,MultinomialNB,"[0.7357142857142858, 0.7225714285714285, 0.7337142857142858, 0.7434285714285714, 0.732, 0.732, 0.7431428571428571, 0.7225714285714285, 0.7277142857142858, 0.7365714285714285]",0.7329428571428571
entropy_sampling,300,10,5000,,MultinomialNB,"[0.7253333333333334, 0.735, 0.735, 0.7336666666666667, 0.7396666666666667, 0.7323333333333333, 0.731, 0.733, 0.7333333333333333, 0.7323333333333333]",0.7330666666666666
entropy_sampling,300,10,7500,,MultinomialNB,"[0.7336, 0.736, 0.7316, 0.7376, 0.7412, 0.7352, 0.7324, 0.7332, 0.736, 0.7392]",0.7356
entropy_sampling,300,15,2500,,MultinomialNB,"[0.7782857142857142, 0.7745714285714286, 0.7814285714285715, 0.7705714285714286, 0.7771428571428571, 0.7771428571428571, 0.7797142857142857, 0.7702857142857142, 0.7805714285714286, 0.7754285714285715]",0.7765142857142857
entropy_sampling,300,15,5000,,MultinomialNB,"[0.7623333333333333, 0.767, 0.7616666666666667, 0.7596666666666667, 0.7556666666666667, 0.757, 0.765, 0.756, 0.758, 0.7703333333333333]",0.7612666666666666
entropy_sampling,300,15,7500,,MultinomialNB,"[0.7564, 0.7492, 0.7668, 0.7532, 0.7576, 0.752, 0.7536, 0.7584, 0.7644, 0.76]",0.75716
entropy_sampling,300,20,2500,,MultinomialNB,"[0.7825714285714286, 0.7811428571428571, 0.7677142857142857, 0.7837142857142857, 0.7834285714285715, 0.784, 0.7762857142857142, 0.7757142857142857, 0.7771428571428571, 0.7774285714285715]",0.7789142857142857
entropy_sampling,300,20,5000,,MultinomialNB,"[0.762, 0.763, 0.7686666666666667, 0.7856666666666666, 0.7666666666666667, 0.761, 0.768, 0.7776666666666666, 0.7596666666666667, 0.7756666666666666]",0.7688
entropy_sampling,300,20,7500,,MultinomialNB,"[0.7464, 0.758, 0.7508, 0.748, 0.7516, 0.7592, 0.7484, 0.742, 0.7472, 0.7528]",0.75044
entropy_sampling,500,10,2500,,MultinomialNB,"[0.7677142857142857, 0.7782857142857142, 0.7762857142857142, 0.7722857142857142, 0.7782857142857142, 0.7728571428571429, 0.7705714285714286, 0.7791428571428571, 0.7845714285714286, 0.7708571428571429]",0.7750857142857143
entropy_sampling,500,10,5000,,MultinomialNB,"[0.7676666666666667, 0.7703333333333333, 0.7633333333333333, 0.7686666666666667, 0.769, 0.7756666666666666, 0.7746666666666666, 0.7666666666666667, 0.7593333333333333, 0.764]",0.7679333333333334
entropy_sampling,500,10,7500,,MultinomialNB,"[0.7676, 0.768, 0.7672, 0.7588, 0.7536, 0.766, 0.76, 0.7576, 0.7708, 0.7616]",0.7631200000000001
entropy_sampling,500,15,2500,,MultinomialNB,"[0.7822857142857143, 0.7748571428571429, 0.7762857142857142, 0.7731428571428571, 0.7814285714285715, 0.7651428571428571, 0.7745714285714286, 0.7794285714285715, 0.7788571428571428, 0.7848571428571428]",0.7770857142857143
entropy_sampling,500,15,5000,,MultinomialNB,"[0.7506666666666667, 0.761, 0.761, 0.7536666666666667, 0.762, 0.7543333333333333, 0.755, 0.7636666666666667, 0.7523333333333333, 0.7573333333333333]",0.7571000000000001
entropy_sampling,500,15,7500,,MultinomialNB,"[0.7344, 0.7424, 0.7352, 0.738, 0.7396, 0.7356, 0.726, 0.7468, 0.7384, 0.7416]",0.7378
entropy_sampling,500,20,2500,,MultinomialNB,"[0.7591428571428571, 0.7571428571428571, 0.7505714285714286, 0.7437142857142857, 0.7565714285714286, 0.7574285714285715, 0.7442857142857143, 0.7577142857142857, 0.7588571428571429, 0.7508571428571429]",0.7536285714285714
entropy_sampling,500,20,5000,,MultinomialNB,"[0.723, 0.728, 0.748, 0.728, 0.7346666666666667, 0.725, 0.738, 0.727, 0.7376666666666667, 0.736]",0.7325333333333333
entropy_sampling,500,20,7500,,MultinomialNB,"[0.7208, 0.7232, 0.7068, 0.7124, 0.7148, 0.7132, 0.726, 0.7092, 0.7096, 0.7188]",0.71548
